test_name,sample_time,rpm_l,rpm_r,v_l_mps,v_r_mps,distance
Test 1: 0.1m forward,0.05006074905395508,0,0,0.0,0.0,0.0
Test 1: 0.1m forward,0.10361003875732422,0,0,0.0,0.0,0.0
Test 1: 0.1m forward,0.1547234058380127,0,0,0.0,0.0,0.0
Test 1: 0.1m forward,0.20582914352416992,3,-4,0.01005309649148734,-0.013404128655316452,0.0005993993975988427
Test 1: 0.1m forward,0.2569446563720703,3,-4,0.01005309649148734,-0.013404128655316452,0.0011989134442826133
Test 1: 0.1m forward,0.30804944038391113,10,-12,0.033510321638291124,-0.04021238596594936,0.003082704968724016
Test 1: 0.1m forward,0.3591587543487549,10,-12,0.033510321638291124,-0.04021238596594936,0.004966663473365766
Test 1: 0.1m forward,0.410261869430542,18,-21,0.06031857894892403,-0.07037167544041137,0.008306003028428887
Test 1: 0.1m forward,0.46136903762817383,18,-21,0.06031857894892403,-0.07037167544041137,0.011645607434862416
Test 1: 0.1m forward,0.5124731063842773,26,-30,0.08712683625955693,-0.10053096491487339,0.01644064602178106
Test 1: 0.1m forward,0.5635790824890137,26,-30,0.08712683625955693,-0.10053096491487339,0.021235863573124958
Test 1: 0.1m forward,0.6146845817565918,34,-38,0.11393509357018984,-0.12733922222550628,0.02740108575771614
Test 1: 0.1m forward,0.6657872200012207,34,-38,0.11393509357018984,-0.12733922222550628,0.033565962796630044
Test 1: 0.1m forward,0.7168893814086914,42,-46,0.14074335088082274,-0.1541474795361392,0.04110074220340537
Test 1: 0.1m forward,0.7679970264434814,42,-46,0.14074335088082274,-0.1541474795361392,0.04863633014588765
Test 1: 0.1m forward,0.8191194534301758,49,-53,0.16420057602762653,-0.17760470468294298,0.057373287899283976
Test 1: 0.1m forward,0.870521068572998,49,-53,0.16420057602762653,-0.17760470468294298,0.0661579596457185
Test 1: 0.1m forward,0.9216291904449463,54,-59,0.1809557368467721,-0.19771089766591765,0.07583442989847601
Test 1: 0.1m forward,0.9727637767791748,54,-59,0.1809557368467721,-0.19771089766591765,0.08551591075566646
Test 1: 0.1m forward,1.024021863937378,55,-59,0.1843067690106012,-0.19771089766591765,0.09530665818290565
Test 1: 0.1m forward,1.0751473903656006,55,-59,0.1843067690106012,-0.19771089766591765,0.10507208533976481
Test 1: 0.1m forward,1.126265048980713,51,-54,0.17090264035528474,-0.1809557368467721,0.11406517354310589
Test 2: 0.2m forward,0.050066232681274414,0,0,0.0,0.0,0.0
Test 2: 0.2m forward,0.10355019569396973,0,0,0.0,0.0,0.0
Test 2: 0.2m forward,0.15466046333312988,0,0,0.0,0.0,0.0
Test 2: 0.2m forward,0.20576167106628418,3,-4,0.01005309649148734,-0.013404128655316452,0.0005993462675350956
Test 2: 0.2m forward,0.2568659782409668,3,-4,0.01005309649148734,-0.013404128655316452,0.0011987288872190708
Test 2: 0.2m forward,0.3079700469970703,9,-11,0.030159289474462014,-0.03686135380212024,0.002911242668261444
Test 2: 0.2m forward,0.35907530784606934,9,-11,0.030159289474462014,-0.03686135380212024,0.004623796396720168
Test 2: 0.2m forward,0.41017866134643555,17,-21,0.05696754678509492,-0.07037167544041137,0.007877527040646037
Test 2: 0.2m forward,0.4612851142883301,17,-21,0.05696754678509492,-0.07037167544041137,0.011131455024808681
Test 2: 0.2m forward,0.5124003887176514,25,-30,0.08377580409572782,-0.10053096491487339,0.015841900563387887
Test 2: 0.2m forward,0.5635049343109131,25,-30,0.08377580409572782,-0.10053096491487339,0.0205513574034124
Test 2: 0.2m forward,0.6146082878112793,33,-38,0.11058406140636073,-0.12733922222550628,0.026630696238115998
Test 2: 0.2m forward,0.6657118797302246,33,-38,0.11058406140636073,-0.12733922222550628,0.0327100634354852
Test 2: 0.2m forward,0.7168147563934326,41,-46,0.13739231871699362,-0.1541474795361392,0.0401593246117584
Test 2: 0.2m forward,0.7679166793823242,41,-46,0.13739231871699362,-0.1541474795361392,0.04760844677102269
Test 2: 0.2m forward,0.819033145904541,48,-53,0.16084954386379743,-0.17760470468294298,0.05625873940359344
Test 2: 0.2m forward,0.8704895973205566,48,-53,0.16084954386379743,-0.17760470468294298,0.06496656670203815
Test 2: 0.2m forward,0.9216163158416748,54,-59,0.1809557368467721,-0.19771089766591765,0.07464655792007287
Test 2: 0.2m forward,0.9727363586425781,54,-59,0.1809557368467721,-0.19771089766591765,0.08432528520185423
Test 2: 0.2m forward,1.0257318019866943,56,-60,0.18765780117443032,-0.20106192982974677,0.09462547244244021
Test 2: 0.2m forward,1.0768349170684814,56,-60,0.18765780117443032,-0.20106192982974677,0.10455786701647411
Test 2: 0.2m forward,1.1279432773590088,54,-56,0.1809557368467721,-0.18765780117443032,0.11397748377105092
Test 2: 0.2m forward,1.1790521144866943,54,-56,0.1809557368467721,-0.18765780117443032,0.12339718840994371
Test 2: 0.2m forward,1.2301816940307617,50,-51,0.16755160819145565,-0.17090264035528474,0.13204970012149275
Test 2: 0.2m forward,1.281292200088501,50,-51,0.16755160819145565,-0.17090264035528474,0.14069898408180062
Test 2: 0.2m forward,1.3324017524719238,46,-47,0.1541474795361392,-0.1574985116999683,0.1486630276388834
Test 2: 0.2m forward,1.3835124969482422,46,-47,0.1541474795361392,-0.1574985116999683,0.15662725695145222
Test 2: 0.2m forward,1.4347131252288818,43,-44,0.14409438304465186,-0.14744541520848095,0.16409076737113787
Test 2: 0.2m forward,1.4858336448669434,43,-44,0.14409438304465186,-0.14744541520848095,0.17154260036207575
Test 2: 0.2m forward,1.5369465351104736,41,-42,0.13739231871699362,-0.14074335088082274,0.17865075933855773
Test 2: 0.2m forward,1.5880601406097412,41,-42,0.13739231871699362,-0.14074335088082274,0.18575901778410644
Test 2: 0.2m forward,1.6391704082489014,41,-43,0.13739231871699362,-0.14409438304465186,0.19295244811605752
